url,keywords,lon,lat
'http://en.wikipedia.org/wiki/Ebonou',d%27,-5.35,5.133333
'http://en.wikipedia.org/wiki/Ebonou',ivoire,-5.35,5.133333
'http://en.wikipedia.org/wiki/Ebonou',populated,-5.35,5.133333
'http://en.wikipedia.org/wiki/Muromi_Station',,130.34,33.5812
'http://en.wikipedia.org/wiki/Bijela_Stijena',,17.2,45.35
'http://en.wikipedia.org/wiki/Akori',populated,44.61611,41.092224
'http://en.wikipedia.org/wiki/Akori',lori,44.61611,41.092224
'http://en.wikipedia.org/wiki/Akori',yago,44.61611,41.092224
'http://en.wikipedia.org/wiki/Akori',geo,44.61611,41.092224
'http://en.wikipedia.org/wiki/Akori',entity,44.61611,41.092224
'http://en.wikipedia.org/wiki/Viidu',,22.133333,58.283333
'http://en.wikipedia.org/wiki/Mghart',yago,44.5825,40.998055
'http://en.wikipedia.org/wiki/Mghart',geo,44.5825,40.998055
'http://en.wikipedia.org/wiki/Mghart',entity,44.5825,40.998055
'http://en.wikipedia.org/wiki/Mghart',populated,44.5825,40.998055
'http://en.wikipedia.org/wiki/Mghart',lori,44.5825,40.998055
'http://en.wikipedia.org/wiki/Nukus_Airport',airports,59.62389,42.4875
'http://en.wikipedia.org/wiki/Nukus_Airport',uzbekistan,59.62389,42.4875
'http://en.wikipedia.org/wiki/Lingti',populated,92.46667,30.966667
'http://en.wikipedia.org/wiki/Lingti',tibet,92.46667,30.966667
'http://en.wikipedia.org/wiki/Savimetsa',,27.2,58.566666
'http://en.wikipedia.org/wiki/Nurnus',populated,44.605835,40.3575
'http://en.wikipedia.org/wiki/Nurnus',kotayk,44.605835,40.3575
'http://en.wikipedia.org/wiki/Nurnus',yago,44.605835,40.3575
'http://en.wikipedia.org/wiki/Nurnus',geo,44.605835,40.3575
'http://en.wikipedia.org/wiki/Nurnus',entity,44.605835,40.3575
'http://en.wikipedia.org/wiki/Bangoua',communes,-3.4666667,7.3333335
'http://en.wikipedia.org/wiki/Bangoua',c%c3%b4te,-3.4666667,7.3333335
'http://en.wikipedia.org/wiki/Bangoua',d%27,-3.4666667,7.3333335
'http://en.wikipedia.org/wiki/Bangoua',ivoire,-3.4666667,7.3333335
'http://en.wikipedia.org/wiki/Bangoua',populated,-3.4666667,7.3333335
'http://en.wikipedia.org/wiki/Malilang',populated,89.2,31.983334
'http://en.wikipedia.org/wiki/Malilang',tibet,89.2,31.983334
'http://en.wikipedia.org/wiki/Sirasso',communes,-6.1,9.283334
'http://en.wikipedia.org/wiki/Sirasso',c%c3%b4te,-6.1,9.283334
'http://en.wikipedia.org/wiki/Sirasso',d%27,-6.1,9.283334
'http://en.wikipedia.org/wiki/Sirasso',ivoire,-6.1,9.283334
'http://en.wikipedia.org/wiki/Sirasso',populated,-6.1,9.283334
'http://en.wikipedia.org/wiki/Sirasso',geoclass,-6.1,9.283334
'http://en.wikipedia.org/wiki/Tuggali',,77.55,15.3333
'http://en.wikipedia.org/wiki/Abdan',populated,51.766666,28.083334
'http://en.wikipedia.org/wiki/Abdan',bushehr,51.766666,28.083334
'http://en.wikipedia.org/wiki/Abdan',province,51.766666,28.083334
'http://en.wikipedia.org/wiki/Wumatang',populated,91.4,30.5
'http://en.wikipedia.org/wiki/Wumatang',tibet,91.4,30.5
'http://en.wikipedia.org/wiki/Wumatang',geoclass,91.4,30.5
'http://en.wikipedia.org/wiki/Tama_Station',railway,139.5171,35.6766
'http://en.wikipedia.org/wiki/Tama_Station',stations,139.5171,35.6766
'http://en.wikipedia.org/wiki/Tama_Station',tokyo,139.5171,35.6766
'http://en.wikipedia.org/wiki/Brauneck',mountains,11.516666,47.666668
'http://en.wikipedia.org/wiki/Brauneck',bavaria,11.516666,47.666668
'http://en.wikipedia.org/wiki/Brauneck',mountain109359803,11.516666,47.666668
'http://en.wikipedia.org/wiki/Brauneck',geoclass,11.516666,47.666668
'http://en.wikipedia.org/wiki/Brauneck',mountain,11.516666,47.666668
'http://en.wikipedia.org/wiki/Kesha,_Hunan',towns,109.95255,29.097319
'http://en.wikipedia.org/wiki/Kesha,_Hunan',hunan,109.95255,29.097319
'http://en.wikipedia.org/wiki/Ardenis',yago,43.72389,41.07861
'http://en.wikipedia.org/wiki/Ardenis',geo,43.72389,41.07861
'http://en.wikipedia.org/wiki/Ardenis',entity,43.72389,41.07861
'http://en.wikipedia.org/wiki/Ardenis',geoclass,43.72389,41.07861
'http://en.wikipedia.org/wiki/Ardenis',populated,43.72389,41.07861
'http://en.wikipedia.org/wiki/Ardenis',shirak,43.72389,41.07861
'http://en.wikipedia.org/wiki/Tsuda_Station',railway,135.6981,34.8014
'http://en.wikipedia.org/wiki/Tsuda_Station',stations,135.6981,34.8014
'http://en.wikipedia.org/wiki/Tsuda_Station',osaka,135.6981,34.8014
'http://en.wikipedia.org/wiki/Tsuda_Station',prefecture,135.6981,34.8014
'http://en.wikipedia.org/wiki/Lumaringbo',populated,84.2,32.266666
'http://en.wikipedia.org/wiki/Lumaringbo',tibet,84.2,32.266666
'http://en.wikipedia.org/wiki/Lumaringbo',geoclass,84.2,32.266666
'http://en.wikipedia.org/wiki/Berkarat',yago,44.168888,40.68139
'http://en.wikipedia.org/wiki/Berkarat',geo,44.168888,40.68139
'http://en.wikipedia.org/wiki/Berkarat',entity,44.168888,40.68139
'http://en.wikipedia.org/wiki/Berkarat',populated,44.168888,40.68139
'http://en.wikipedia.org/wiki/Berkarat',aragatsotn,44.168888,40.68139
'http://en.wikipedia.org/wiki/Lac_de_Bonlieu',lakes,5.873611,46.586113
'http://en.wikipedia.org/wiki/Lac_de_Bonlieu',franche,5.873611,46.586113
'http://en.wikipedia.org/wiki/Lac_de_Bonlieu',comt%c3%a9,5.873611,46.586113
'http://en.wikipedia.org/wiki/Lac_de_Bonlieu',lake109328904,5.873611,46.586113
'http://en.wikipedia.org/wiki/Arevabuyr',yago,44.468887,40.03611
'http://en.wikipedia.org/wiki/Arevabuyr',geo,44.468887,40.03611
'http://en.wikipedia.org/wiki/Arevabuyr',entity,44.468887,40.03611
'http://en.wikipedia.org/wiki/Arevabuyr',populated,44.468887,40.03611
'http://en.wikipedia.org/wiki/Arevabuyr',ararat,44.468887,40.03611
'http://en.wikipedia.org/wiki/Arevabuyr',geoclass,44.468887,40.03611
'http://en.wikipedia.org/wiki/Sarigyugh',yago,45.145832,41.05639
'http://en.wikipedia.org/wiki/Sarigyugh',geo,45.145832,41.05639
'http://en.wikipedia.org/wiki/Sarigyugh',entity,45.145832,41.05639
'http://en.wikipedia.org/wiki/Sarigyugh',populated,45.145832,41.05639
'http://en.wikipedia.org/wiki/Sarigyugh',tavush,45.145832,41.05639
'http://en.wikipedia.org/wiki/Sarigyugh',geoclass,45.145832,41.05639
'http://en.wikipedia.org/wiki/Badikaha',geoclass,-5.1666665,9.2
'http://en.wikipedia.org/wiki/Badikaha',populated,-5.1666665,9.2
'http://en.wikipedia.org/wiki/Badikaha',communes,-5.1666665,9.2
'http://en.wikipedia.org/wiki/Badikaha',c%c3%b4te,-5.1666665,9.2
'http://en.wikipedia.org/wiki/Badikaha',d%27,-5.1666665,9.2
'http://en.wikipedia.org/wiki/Badikaha',ivoire,-5.1666665,9.2
'http://en.wikipedia.org/wiki/Blurton',stoke,-2.157,52.982
'http://en.wikipedia.org/wiki/Blurton',on,-2.157,52.982
'http://en.wikipedia.org/wiki/Blurton',trent,-2.157,52.982
'http://en.wikipedia.org/wiki/Blurton',villages,-2.157,52.982
'http://en.wikipedia.org/wiki/Blurton',staffordshire,-2.157,52.982
'http://en.wikipedia.org/wiki/Dakpadou',geoclass,-6.0666666,5.25
'http://en.wikipedia.org/wiki/Dakpadou',populated,-6.0666666,5.25
'http://en.wikipedia.org/wiki/Dakpadou',communes,-6.0666666,5.25
'http://en.wikipedia.org/wiki/Dakpadou',c%c3%b4te,-6.0666666,5.25
'http://en.wikipedia.org/wiki/Dakpadou',d%27,-6.0666666,5.25
'http://en.wikipedia.org/wiki/Dakpadou',ivoire,-6.0666666,5.25
'http://en.wikipedia.org/wiki/Alolar',populated,46.01389,40.095
'http://en.wikipedia.org/wiki/Alolar',kalbajar,46.01389,40.095
'http://en.wikipedia.org/wiki/Alolar',rayon,46.01389,40.095
'http://en.wikipedia.org/wiki/Alolar',yago,46.01389,40.095
'http://en.wikipedia.org/wiki/Alolar',geo,46.01389,40.095
'http://en.wikipedia.org/wiki/Alolar',entity,46.01389,40.095
'http://en.wikipedia.org/wiki/Alolar',geoclass,46.01389,40.095
'http://en.wikipedia.org/wiki/Shobdon_Priory',,-2.8777,52.2601
'http://en.wikipedia.org/wiki/Lambha',cities,72.57612,22.93822
'http://en.wikipedia.org/wiki/Lambha',towns,72.57612,22.93822
'http://en.wikipedia.org/wiki/Lambha',ahmedabad,72.57612,22.93822
'http://en.wikipedia.org/wiki/Lambha',district,72.57612,22.93822
'http://en.wikipedia.org/wiki/Vrdolje',populated,18.05,43.65
'http://en.wikipedia.org/wiki/Vrdolje',bosnia,18.05,43.65
'http://en.wikipedia.org/wiki/Vrdolje',herzegovina,18.05,43.65
'http://en.wikipedia.org/wiki/Vrdolje',geoclass,18.05,43.65
'http://en.wikipedia.org/wiki/Pujalt',municipalities,1.4166666,41.716667
'http://en.wikipedia.org/wiki/Pujalt',barcelona,1.4166666,41.716667
'http://en.wikipedia.org/wiki/Genlik',populated,46.63889,39.105278
'http://en.wikipedia.org/wiki/Genlik',zangilan,46.63889,39.105278
'http://en.wikipedia.org/wiki/Genlik',rayon,46.63889,39.105278
'http://en.wikipedia.org/wiki/Genlik',yago,46.63889,39.105278
'http://en.wikipedia.org/wiki/Genlik',geo,46.63889,39.105278
'http://en.wikipedia.org/wiki/Genlik',entity,46.63889,39.105278
'http://en.wikipedia.org/wiki/Genlik',geoclass,46.63889,39.105278
'http://en.wikipedia.org/wiki/Ghabaghtapa',populated,43.833332,40.35
'http://en.wikipedia.org/wiki/Ghabaghtapa',aragatsotn,43.833332,40.35
'http://en.wikipedia.org/wiki/Ghabaghtapa',yago,43.833332,40.35
'http://en.wikipedia.org/wiki/Ghabaghtapa',geo,43.833332,40.35
'http://en.wikipedia.org/wiki/Ghabaghtapa',entity,43.833332,40.35
'http://en.wikipedia.org/wiki/Garyarsa',populated,80.36667,31.75
'http://en.wikipedia.org/wiki/Garyarsa',tibet,80.36667,31.75
'http://en.wikipedia.org/wiki/Garyarsa',yago,80.36667,31.75
'http://en.wikipedia.org/wiki/Garyarsa',geo,80.36667,31.75
'http://en.wikipedia.org/wiki/Garyarsa',entity,80.36667,31.75
'http://en.wikipedia.org/wiki/Garyarsa',geoclass,80.36667,31.75
'http://en.wikipedia.org/wiki/Satte_Station',railway,139.7143,36.0751
'http://en.wikipedia.org/wiki/Satte_Station',stations,139.7143,36.0751
'http://en.wikipedia.org/wiki/Satte_Station',saitama,139.7143,36.0751
'http://en.wikipedia.org/wiki/Satte_Station',prefecture,139.7143,36.0751
'http://en.wikipedia.org/wiki/Villinki',neighbourhoods,25.116667,60.166668
'http://en.wikipedia.org/wiki/Villinki',helsinki,25.116667,60.166668
'http://en.wikipedia.org/wiki/Lumachomo',populated,87.8,31.2
'http://en.wikipedia.org/wiki/Lumachomo',tibet,87.8,31.2
'http://en.wikipedia.org/wiki/Lumachomo',geoclass,87.8,31.2
'http://en.wikipedia.org/wiki/Liigalaskma',,23.016666,58.566666
'http://en.wikipedia.org/wiki/Heugstatt',mountains,13.066667,49.133335
'http://en.wikipedia.org/wiki/Heugstatt',bavaria,13.066667,49.133335
'http://en.wikipedia.org/wiki/Heugstatt',mountain109359803,13.066667,49.133335
'http://en.wikipedia.org/wiki/Heugstatt',geoclass,13.066667,49.133335
'http://en.wikipedia.org/wiki/Heugstatt',mountain,13.066667,49.133335
'http://en.wikipedia.org/wiki/Niandakoro',yago,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Niandakoro',geo,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Niandakoro',entity,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Niandakoro',geoclass,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Niandakoro',populated,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Niandakoro',kankan,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Niandakoro',region,-9.244995,11.081385
'http://en.wikipedia.org/wiki/Asuka,_Estonia',,22.466667,58.566666
'http://en.wikipedia.org/wiki/Laguna_Alalay',lakes,-67.05055,-18.778334
'http://en.wikipedia.org/wiki/Laguna_Alalay',bolivia,-67.05055,-18.778334
'http://en.wikipedia.org/wiki/Laguna_Alalay',geoclass,-67.05055,-18.778334
'http://en.wikipedia.org/wiki/Laguna_Alalay',lake,-67.05055,-18.778334
'http://en.wikipedia.org/wiki/Bagravan',geoclass,43.670834,40.480278
'http://en.wikipedia.org/wiki/Bagravan',populated,43.670834,40.480278
'http://en.wikipedia.org/wiki/Bagravan',yago,43.670834,40.480278
'http://en.wikipedia.org/wiki/Bagravan',geo,43.670834,40.480278
'http://en.wikipedia.org/wiki/Bagravan',entity,43.670834,40.480278
'http://en.wikipedia.org/wiki/Bagravan',shirak,43.670834,40.480278
'http://en.wikipedia.org/wiki/Darakert',populated,44.413887,40.105835
'http://en.wikipedia.org/wiki/Darakert',ararat,44.413887,40.105835
'http://en.wikipedia.org/wiki/Darakert',yago,44.413887,40.105835
'http://en.wikipedia.org/wiki/Darakert',geo,44.413887,40.105835
'http://en.wikipedia.org/wiki/Darakert',entity,44.413887,40.105835
'http://en.wikipedia.org/wiki/Darakert',geoclass,44.413887,40.105835
'http://en.wikipedia.org/wiki/Gala,_Tibet',yago,89.416664,28.25
'http://en.wikipedia.org/wiki/Gala,_Tibet',geo,89.416664,28.25
'http://en.wikipedia.org/wiki/Gala,_Tibet',entity,89.416664,28.25
'http://en.wikipedia.org/wiki/Gala,_Tibet',populated,89.416664,28.25
'http://en.wikipedia.org/wiki/Gala,_Tibet',tibet,89.416664,28.25
'http://en.wikipedia.org/wiki/Bianouan',populated,-3.2,6.016667
'http://en.wikipedia.org/wiki/Bianouan',c%c3%b4te,-3.2,6.016667
'http://en.wikipedia.org/wiki/Bianouan',d%27,-3.2,6.016667
'http://en.wikipedia.org/wiki/Bianouan',ivoire,-3.2,6.016667
'http://en.wikipedia.org/wiki/Bianouan',communes,-3.2,6.016667
'http://en.wikipedia.org/wiki/Bianouan',geoclass,-3.2,6.016667
'http://en.wikipedia.org/wiki/Rukuruku_River',rivers,178.25,-17.466667
'http://en.wikipedia.org/wiki/Rukuruku_River',viti,178.25,-17.466667
'http://en.wikipedia.org/wiki/Rukuruku_River',levu,178.25,-17.466667
'http://en.wikipedia.org/wiki/Rukuruku_River',river109411430,178.25,-17.466667
'http://en.wikipedia.org/wiki/Rukuruku_River',geoclass,178.25,-17.466667
'http://en.wikipedia.org/wiki/Rukuruku_River',stream,178.25,-17.466667
'http://en.wikipedia.org/wiki/Argud',geoclass,18.283333,43.516666
'http://en.wikipedia.org/wiki/Argud',populated,18.283333,43.516666
'http://en.wikipedia.org/wiki/Argud',bosnia,18.283333,43.516666
'http://en.wikipedia.org/wiki/Argud',herzegovina,18.283333,43.516666
'http://en.wikipedia.org/wiki/Owase_Station',railway,136.1903,34.0744
'http://en.wikipedia.org/wiki/Owase_Station',stations,136.1903,34.0744
'http://en.wikipedia.org/wiki/Owase_Station',mie,136.1903,34.0744
'http://en.wikipedia.org/wiki/Owase_Station',prefecture,136.1903,34.0744
'http://en.wikipedia.org/wiki/Artabuynk',populated,45.36139,39.85889
'http://en.wikipedia.org/wiki/Artabuynk',vayots,45.36139,39.85889
'http://en.wikipedia.org/wiki/Artabuynk',dzor,45.36139,39.85889
'http://en.wikipedia.org/wiki/Artabuynk',yago,45.36139,39.85889
'http://en.wikipedia.org/wiki/Artabuynk',geo,45.36139,39.85889
'http://en.wikipedia.org/wiki/Artabuynk',entity,45.36139,39.85889
'http://en.wikipedia.org/wiki/Echuca_Airport',airports,144.76195,-36.157223
'http://en.wikipedia.org/wiki/Echuca_Airport',victoria%28,144.76195,-36.157223
'http://en.wikipedia.org/wiki/Echuca_Airport',australia%29,144.76195,-36.157223
'http://en.wikipedia.org/wiki/Raikod',cities,77.75,17.833334
'http://en.wikipedia.org/wiki/Raikod',towns,77.75,17.833334
'http://en.wikipedia.org/wiki/Raikod',medak,77.75,17.833334
'http://en.wikipedia.org/wiki/Raikod',district,77.75,17.833334
'http://en.wikipedia.org/wiki/Schildenstein',mountain109359803,11.733334,47.6
'http://en.wikipedia.org/wiki/Schildenstein',geoclass,11.733334,47.6
'http://en.wikipedia.org/wiki/Schildenstein',mountain,11.733334,47.6
'http://en.wikipedia.org/wiki/Schildenstein',mountains,11.733334,47.6
'http://en.wikipedia.org/wiki/Schildenstein',bavaria,11.733334,47.6
'http://en.wikipedia.org/wiki/Lomokankro',populated,-5.0333333,7.0833335
'http://en.wikipedia.org/wiki/Lomokankro',c%c3%b4te,-5.0333333,7.0833335
'http://en.wikipedia.org/wiki/Lomokankro',d%27,-5.0333333,7.0833335
'http://en.wikipedia.org/wiki/Lomokankro',ivoire,-5.0333333,7.0833335
'http://en.wikipedia.org/wiki/Lomokankro',communes,-5.0333333,7.0833335
'http://en.wikipedia.org/wiki/Pampa_Luxsar',mountain109359803,-68.2,-20.85
'http://en.wikipedia.org/wiki/Pampa_Luxsar',volcanic,-68.2,-20.85
'http://en.wikipedia.org/wiki/Pampa_Luxsar',fields,-68.2,-20.85
'http://en.wikipedia.org/wiki/Pampa_Luxsar',volcanoes,-68.2,-20.85
'http://en.wikipedia.org/wiki/Pampa_Luxsar',bolivia,-68.2,-20.85
'http://en.wikipedia.org/wiki/Fuchskarspitze',mountain109359803,10.433333,47.4
'http://en.wikipedia.org/wiki/Fuchskarspitze',geoclass,10.433333,47.4
'http://en.wikipedia.org/wiki/Fuchskarspitze',mountain,10.433333,47.4
'http://en.wikipedia.org/wiki/Fuchskarspitze',mountains,10.433333,47.4
'http://en.wikipedia.org/wiki/Fuchskarspitze',bavaria,10.433333,47.4
'http://en.wikipedia.org/wiki/Ormsary',villages,-5.6069446,55.892776
'http://en.wikipedia.org/wiki/Ormsary',argyll,-5.6069446,55.892776
'http://en.wikipedia.org/wiki/Ormsary',bute,-5.6069446,55.892776
'http://en.wikipedia.org/wiki/Dhudike',villages,75.33,30.75
'http://en.wikipedia.org/wiki/Dhudike',moga,75.33,30.75
'http://en.wikipedia.org/wiki/Dhudike',district,75.33,30.75
'http://en.wikipedia.org/wiki/Beechmount',edinburgh,-3.2566667,55.94361
'http://en.wikipedia.org/wiki/Podvitez',populated,18.633333,43.816666
'http://en.wikipedia.org/wiki/Podvitez',bosnia,18.633333,43.816666
'http://en.wikipedia.org/wiki/Podvitez',herzegovina,18.633333,43.816666
'http://en.wikipedia.org/wiki/Podvitez',geoclass,18.633333,43.816666
'http://en.wikipedia.org/wiki/Okuje',,16.066668,45.683334
'http://en.wikipedia.org/wiki/Pakrani',,17.283333,45.55
'http://en.wikipedia.org/wiki/Teruamao',geoclass,-149.13333,-17.847221
'http://en.wikipedia.org/wiki/Teruamao',populated,-149.13333,-17.847221
'http://en.wikipedia.org/wiki/Teruamao',towns,-149.13333,-17.847221
'http://en.wikipedia.org/wiki/Teruamao',villages,-149.13333,-17.847221
'http://en.wikipedia.org/wiki/Teruamao',tahiti,-149.13333,-17.847221
'http://en.wikipedia.org/wiki/Piuru',populated,-80.62479,-5.193522
'http://en.wikipedia.org/wiki/Piuru',piura,-80.62479,-5.193522
'http://en.wikipedia.org/wiki/Piuru',region,-80.62479,-5.193522
'undefined',,-87.17722,33.226944
'http://en.wikipedia.org/wiki/Gornji_Tkalec',,16.466667,45.966667
'http://en.wikipedia.org/wiki/Barera',,79.066666,24.566668
'http://en.wikipedia.org/wiki/Estero_Coya',rivers,-70.53333,-34.2
'http://en.wikipedia.org/wiki/Estero_Coya',chile,-70.53333,-34.2
'http://en.wikipedia.org/wiki/Verin_Kyorplu',populated,44.933334,41.216667
'http://en.wikipedia.org/wiki/Verin_Kyorplu',tavush,44.933334,41.216667
'http://en.wikipedia.org/wiki/Verin_Kyorplu',yago,44.933334,41.216667
'http://en.wikipedia.org/wiki/Verin_Kyorplu',geo,44.933334,41.216667
'http://en.wikipedia.org/wiki/Verin_Kyorplu',entity,44.933334,41.216667
'http://en.wikipedia.org/wiki/Shiphay_Manor',,-3.555,50.476
'http://en.wikipedia.org/wiki/Laligam',,78.15,12.05
'http://en.wikipedia.org/wiki/Kurboor',villages,78.44,13.1854
'http://en.wikipedia.org/wiki/Kurboor',chikkaballapur,78.44,13.1854
'http://en.wikipedia.org/wiki/Kurboor',district,78.44,13.1854
'http://en.wikipedia.org/wiki/Fagam',populated,9.883889,11.276944
'http://en.wikipedia.org/wiki/Fagam',jigawa,9.883889,11.276944
'http://en.wikipedia.org/wiki/Cala_Agulla',beaches,3.4525,39.7225
